stop_id,lat,lng,zone_id,zone_name,time_window_start,time_window_end,service_time,cod_total,packages
ST_01,28.524582803953734,77.1975503226567,Z2,Saket / South Delhi (Residential Zone),13:00:00,17:00:00,579,0.0,"[{""package_id"": ""PKG_ST_01_0"", ""weight"": 2.62, ""volume"": 14992.95, ""payment_type"": ""PREPAID"", ""cod_amount"": 0.0}]"
ST_02,28.563877553305176,77.09867687278741,Z3,Dwarka / West Delhi (Suburban),09:00:00,13:00:00,579,3783.73,"[{""package_id"": ""PKG_ST_02_0"", ""weight"": 2.58, ""volume"": 10601.75, ""payment_type"": ""COD"", ""cod_amount"": 3783.73}]"
ST_03,28.567985594628848,77.22027627138851,Z1,Connaught Place (Commercial Curfew Zone),13:00:00,17:00:00,442,0.0,"[{""package_id"": ""PKG_ST_03_0"", ""weight"": 7.71, ""volume"": 4033.53, ""payment_type"": ""PREPAID"", ""cod_amount"": 0.0}]"
ST_04,28.51006438499435,77.22551639216621,Z2,Saket / South Delhi (Residential Zone),13:00:00,17:00:00,435,0.0,"[{""package_id"": ""PKG_ST_04_0"", ""weight"": 1.38, ""volume"": 2837.61, ""payment_type"": ""PREPAID"", ""cod_amount"": 0.0}]"
ST_05,28.592685130930974,77.11098927146774,Z3,Dwarka / West Delhi (Suburban),09:00:00,19:00:00,485,0.0,"[{""package_id"": ""PKG_ST_05_0"", ""weight"": 9.74, ""volume"": 8192.15, ""payment_type"": ""PREPAID"", ""cod_amount"": 0.0}]"
ST_06,28.572720564357702,77.22793715508645,Z1,Connaught Place (Commercial Curfew Zone),09:00:00,13:00:00,436,4259.07,"[{""package_id"": ""PKG_ST_06_0"", ""weight"": 2.67, ""volume"": 6498.37, ""payment_type"": ""COD"", ""cod_amount"": 4259.07}, {""package_id"": ""PKG_ST_06_1"", ""weight"": 1.46, ""volume"": 6281.5, ""payment_type"": ""PREPAID"", ""cod_amount"": 0.0}, {""package_id"": ""PKG_ST_06_2"", ""weight"": 3.97, ""volume"": 8033.44, ""payment_type"": ""PREPAID"", ""cod_amount"": 0.0}]"
ST_07,28.526454609403753,77.21730642996611,Z2,Saket / South Delhi (Residential Zone),09:00:00,13:00:00,328,7471.64,"[{""package_id"": ""PKG_ST_07_0"", ""weight"": 6.53, ""volume"": 11148.66, ""payment_type"": ""COD"", ""cod_amount"": 7471.64}, {""package_id"": ""PKG_ST_07_1"", ""weight"": 3.06, ""volume"": 18582.43, ""payment_type"": ""PREPAID"", ""cod_amount"": 0.0}, {""package_id"": ""PKG_ST_07_2"", ""weight"": 2.59, ""volume"": 7161.37, ""payment_type"": ""PREPAID"", ""cod_amount"": 0.0}]"
ST_08,28.569561922878563,77.08308400975616,Z3,Dwarka / West Delhi (Suburban),13:00:00,17:00:00,502,0.0,"[{""package_id"": ""PKG_ST_08_0"", ""weight"": 3.04, ""volume"": 5008.67, ""payment_type"": ""PREPAID"", ""cod_amount"": 0.0}, {""package_id"": ""PKG_ST_08_1"", ""weight"": 8.83, ""volume"": 6978.88, ""payment_type"": ""PREPAID"", ""cod_amount"": 0.0}]"
ST_09,28.5819404946166,77.22608555610601,Z1,Connaught Place (Commercial Curfew Zone),09:00:00,13:00:00,485,0.0,"[{""package_id"": ""PKG_ST_09_0"", ""weight"": 1.83, ""volume"": 15154.79, ""payment_type"": ""PREPAID"", ""cod_amount"": 0.0}, {""package_id"": ""PKG_ST_09_1"", ""weight"": 7.6, ""volume"": 9140.24, ""payment_type"": ""PREPAID"", ""cod_amount"": 0.0}]"
ST_10,28.511979622774717,77.22672612819487,Z2,Saket / South Delhi (Residential Zone),09:00:00,19:00:00,539,16126.91,"[{""package_id"": ""PKG_ST_10_0"", ""weight"": 1.36, ""volume"": 1895.21, ""payment_type"": ""COD"", ""cod_amount"": 9784.24}, {""package_id"": ""PKG_ST_10_1"", ""weight"": 8.02, ""volume"": 9021.04, ""payment_type"": ""COD"", ""cod_amount"": 6342.67}]"
